Numerator, Denominator, Average Time, Output
1, 1, 38195, 1
1, 2, 2279, 0
1, 3, 6462, 0
1, 4, 11850, 0
1, 5, 9333, 0
1, 6, 9929, 0
1, 7, 8974, 0
1, 8, 27678, 0
1, 9, 45241, 0
1, 10, 52345, 0
2, 1, 1320, 2
2, 2, 1704, 1
2, 3, 2483, 0
2, 4, 71637, 0
2, 5, 3983, 0
2, 6, 178854, 0
2, 7, 152666, 0
2, 8, 1829, 0
2, 9, 1874, 0
2, 10, 11554, 0
3, 1, 695, 3
3, 2, 679, 3
3, 3, 1479, 1
3, 4, 1283, 0
3, 5, 1166, 0
3, 6, 1399, 0
3, 7, 1425, 0
3, 8, 2770, 0
3, 9, 2041, 0
3, 10, 3396, 0
4, 1, 4487, 4
4, 2, 19970, 6
4, 3, 650, 4
4, 4, 974, 1
4, 5, 1008, 0
4, 6, 1112, 0
4, 7, 1866, 0
4, 8, 38424, 0
4, 9, 2808, 0
4, 10, 1912, 0
5, 1, 604, 5
5, 2, 633, 10
5, 3, 791, 10
5, 4, 134158, 5
5, 5, 325, 1
5, 6, 516, 0
5, 7, 3470, 0
5, 8, 758, 0
5, 9, 916, 0
5, 10, 1037, 0
6, 1, 116, 6
6, 2, 216, 15
6, 3, 346, 20
6, 4, 316, 15
6, 5, 346, 6
6, 6, 391, 1
6, 7, 504, 0
6, 8, 774, 0
6, 9, 783, 0
6, 10, 1566, 0
7, 1, 100, 7
7, 2, 283, 21
7, 3, 4683, 35
7, 4, 3720, 35
7, 5, 524, 21
7, 6, 408, 7
7, 7, 545, 1
7, 8, 737, 0
7, 9, 987, 0
7, 10, 1075, 0
8, 1, 141, 8
8, 2, 141, 28
8, 3, 233, 56
8, 4, 445, 70
8, 5, 462, 56
8, 6, 712, 28
8, 7, 475, 8
8, 8, 479, 1
8, 9, 641, 0
8, 10, 896, 0
9, 1, 112, 9
9, 2, 166, 36
9, 3, 379, 84
9, 4, 358, 126
9, 5, 525, 126
9, 6, 754, 84
9, 7, 895, 36
9, 8, 895, 9
9, 9, 583, 1
9, 10, 1445, 0
10, 1, 108, 10
10, 2, 154, 45
10, 3, 237, 120
10, 4, 312, 210
10, 5, 504, 252
10, 6, 483, 210
10, 7, 821, 120
10, 8, 612, 45
10, 9, 1241, 10
10, 10, 966, 1
11, 1, 733, 11
11, 2, 325, 55
11, 3, 337, 165
11, 4, 716, 330
11, 5, 416, 462
11, 6, 503, 462
11, 7, 1650, 330
11, 8, 645, 165
11, 9, 779, 55
11, 10, 695, 11
12, 1, 158, 12
12, 2, 441, 66
12, 3, 395, 220
12, 4, 275, 495
12, 5, 346, 792
12, 6, 525, 924
12, 7, 533, 792
12, 8, 708, 495
12, 9, 7604, 220
12, 10, 941, 66
13, 1, 116, 13
13, 2, 171, 78
13, 3, 241, 286
13, 4, 320, 715
13, 5, 474, 1287
13, 6, 504, 1716
13, 7, 904, 1716
13, 8, 708, 1287
13, 9, 916, 715
13, 10, 845, 286
14, 1, 120, 14
14, 2, 837, 91
14, 3, 570, 364
14, 4, 712, 1001
14, 5, 441, 2002
14, 6, 483, 3003
14, 7, 1021, 3432
14, 8, 695, 3003
14, 9, 925, 2002
14, 10, 883, 1001
15, 1, 129, 15
15, 2, 154, 105
15, 3, 52141, 455
15, 4, 520, 1365
