Numerator, Denominator, Average Time, Output
1, 1, 3800, 1
1, 2, 1058, 0
1, 3, 376, 0
1, 4, 341, 0
1, 5, 484, 0
1, 6, 435, 0
1, 7, 1039, 0
1, 8, 695, 0
1, 9, 657, 0
1, 10, 674, 0
2, 1, 254, 2
2, 2, 421, 1
2, 3, 61634, 0
2, 4, 6388, 0
2, 5, 847, 0
2, 6, 297, 0
2, 7, 229, 0
2, 8, 251, 0
2, 9, 587, 0
2, 10, 325, 0
3, 1, 178, 3
3, 2, 11663, 3
3, 3, 1320, 1
3, 4, 223, 0
3, 5, 117, 0
3, 6, 382, 0
3, 7, 179, 0
3, 8, 138, 0
3, 9, 201, 0
3, 10, 21024, 0
4, 1, 2177, 4
4, 2, 271, 6
4, 3, 77, 4
4, 4, 99, 1
4, 5, 80, 0
4, 6, 99, 0
4, 7, 80, 0
4, 8, 74, 0
4, 9, 99, 0
4, 10, 2014, 0
5, 1, 1851, 5
5, 2, 7614, 10
5, 3, 869, 10
5, 4, 174, 5
5, 5, 117, 1
5, 6, 103, 0
5, 7, 110, 0
5, 8, 106, 0
5, 9, 118, 0
5, 10, 124, 0
6, 1, 74, 6
6, 2, 203, 15
6, 3, 107, 20
6, 4, 102, 15
6, 5, 106, 6
6, 6, 110, 1
6, 7, 127, 0
6, 8, 121, 0
6, 9, 133, 0
6, 10, 138, 0
7, 1, 72, 7
7, 2, 90, 21
7, 3, 101, 35
7, 4, 101, 35
7, 5, 118, 21
7, 6, 124, 7
7, 7, 191, 1
7, 8, 110, 0
7, 9, 123, 0
7, 10, 137, 0
8, 1, 80, 8
8, 2, 91, 28
8, 3, 100, 56
8, 4, 176, 70
8, 5, 117, 56
8, 6, 120, 28
8, 7, 116, 8
8, 8, 107, 1
8, 9, 102, 0
8, 10, 94, 0
9, 1, 59, 9
9, 2, 76, 36
9, 3, 86, 84
9, 4, 109, 126
9, 5, 148, 126
9, 6, 123, 84
9, 7, 153, 36
9, 8, 148, 9
9, 9, 152, 1
9, 10, 152, 0
10, 1, 73, 10
10, 2, 74, 45
10, 3, 103, 120
10, 4, 252, 210
10, 5, 125, 252
10, 6, 120, 210
10, 7, 120, 120
10, 8, 107, 45
10, 9, 106, 10
10, 10, 135, 1
11, 1, 67, 11
11, 2, 60, 55
11, 3, 64, 165
11, 4, 98, 330
11, 5, 84, 462
11, 6, 112, 462
11, 7, 102, 330
11, 8, 105, 165
11, 9, 102, 55
11, 10, 172, 11
12, 1, 63, 12
12, 2, 52, 66
12, 3, 71, 220
12, 4, 78, 495
12, 5, 95, 792
12, 6, 101, 924
12, 7, 109, 792
12, 8, 106, 495
12, 9, 106, 220
12, 10, 160, 66
13, 1, 82, 13
13, 2, 83, 78
13, 3, 108, 286
13, 4, 98, 715
13, 5, 101, 1287
13, 6, 118, 1716
13, 7, 132, 1716
13, 8, 134, 1287
13, 9, 113, 715
13, 10, 682, 286
14, 1, 134, 14
14, 2, 97, 91
14, 3, 88, 364
14, 4, 109, 1001
14, 5, 127, 2002
14, 6, 125, 3003
14, 7, 145, 3432
14, 8, 110, 3003
14, 9, 148, 2002
14, 10, 160, 1001
15, 1, 86, 15
15, 2, 91, 105
15, 3, 92, 455
15, 4, 117, 1365
15, 5, 124, 3003
15, 6, 124, 5005
15, 7, 116, 6435
15, 8, 136, 6435
15, 9, 221, 5005
15, 10, 155, 3003
16, 1, 65, 16
16, 2, 94, 120
16, 3, 101, 560
16, 4, 114, 1820
16, 5, 94, 4368
16, 6, 88, 8008
16, 7, 133, 11440
16, 8, 134, 12870
16, 9, 430, 11440
16, 10, 176, 8008
17, 1, 67, 17
17, 2, 77, 136
17, 3, 74, 680
17, 4, 98, 2380
17, 5, 113, 6188
17, 6, 123, 12376
17, 7, 133, 19448
17, 8, 180, 24310
17, 9, 138, 24310
17, 10, 155, 19448
18, 1, 7490, 18
18, 2, 903, 153
18, 3, 219, 816
18, 4, 113, 3060
18, 5, 98, 8568
18, 6, 97, 18564
18, 7, 101, 31824
18, 8, 101, 43758
18, 9, 143, 48620
18, 10, 130, 43758
19, 1, 71, 19
19, 2, 86, 171
19, 3, 79, 969
19, 4, 87, 3876
19, 5, 87, 11628
19, 6, 95, 27132
19, 7, 160, 50388
19, 8, 119, 75582
19, 9, 132, 92378
19, 10, 125, 92378
20, 1, 79, 20
20, 2, 70, 190
20, 3, 82, 1140
20, 4, 91, 4845
20, 5, 92, 15504
20, 6, 83, 38760
20, 7, 108, 77520
20, 8, 102, 125970
20, 9, 122, 167960
20, 10, 153, 184756
21, 1, 131, 21
21, 2, 100, 210
21, 3, 72, 1330
21, 4, 82, 5985
21, 5, 91, 20349
21, 6, 192, 54264
21, 7, 110, 116280
21, 8, 102, 203490
21, 9, 127, 293930
21, 10, 129, 352716
22, 1, 58, 22
22, 2, 59, 231
22, 3, 89, 1540
22, 4, 92, 7315
22, 5, 80, 26334
22, 6, 95, 74613
22, 7, 96, 170544
22, 8, 96, 319770
22, 9, 122, 497420
22, 10, 124, 646646
23, 1, 70, 23
23, 2, 73, 253
23, 3, 82, 1771
23, 4, 154, 8855
23, 5, 98, 33649
23, 6, 113, 100947
23, 7, 102, 245157
23, 8, 160, 490314
23, 9, 136, 817190
23, 10, 221, 1144066
24, 1, 88, 24
24, 2, 212, 276
24, 3, 92, 2024
24, 4, 96, 10626
24, 5, 105, 42504
24, 6, 102, 134596
24, 7, 105, 346104
24, 8, 111, 735471
24, 9, 131, 1307504
